Sex,RaceDesc,HispanicLatino,Termd
M ,White,No,0
M ,White,No,1
F,White,No,1
F,White,No,0
F,White,No,1
F,White,No,0
F,White,No,0
M ,White,No,0
F,Black or African American,No,0
M ,White,No,0
F,Black or African American,Yes,1
M ,Black or African American,Yes,1
M ,Black or African American,No,0
M ,Two or more races,No,0
M ,White,No,1
M ,White,No,1
F,White,No,0
F,White,No,0
F,White,Yes,1
M ,Asian,No,0
M ,White,Yes,0
F,Asian,No,0
F,White,No,0
F,White,No,0
F,White,No,1
M ,Black or African American,No,1
F,Black or African American,No,0
M ,Asian,No,1
F,White,No,1
F,Black or African American,No,0
M ,White,No,0
F,Black or African American,No,0
F,Black or African American,No,1
F,Black or African American,No,0
M ,White,No,0
M ,White,No,0
M ,White,No,0
F,White,No,0
M ,Black or African American,No,0
F,Black or African American,No,0
F,White,No,0
F,White,No,0
M ,White,No,0
F,White,No,0
M ,White,No,0
M ,Black or African American,No,0
F,White,No,1
F,Black or African American,No,0
M ,White,No,0
F,White,No,1
M ,White,No,1
M ,White,No,0
M ,White,No,0
M ,Black or African American,No,1
M ,White,No,0
M ,Black or African American,No,0
F,White,Yes,0
M ,White,No,0
F,White,No,0
M ,White,No,0
F,White,No,0
F,White,No,0
F,White,No,0
M ,Two or more races,No,0
M ,White,No,0
M ,White,No,1
F,Black or African American,No,0
M ,Two or more races,No,0
F,Black or African American,No,1
M ,White,No,0
M ,White,No,0
M ,White,No,0
F,White,Yes,0
F,Black or African American,No,0
F,White,Yes,0
F,White,No,0
M ,Black or African American,No,0
F,White,No,0
F,White,No,0
F,White,No,0
F,White,No,1
M ,White,No,0
M ,White,No,0
F,White,No,0
M ,White,No,1
F,White,No,1
F,Black or African American,No,1
F,Black or African American,No,0
F,Black or African American,No,0
F,White,No,1
M ,White,No,0
M ,White,No,0
F,White,No,0
M ,White,Yes,1
F,White,No,1
M ,White,No,1
M ,Black or African American,No,0
F,White,no,0
M ,Black or African American,No,0
F,White,No,0
M ,White,Yes,0
F,Black or African American,Yes,0
F,Black or African American,No,0
F,Black or African American,No,1
F,Black or African American,No,1
M ,Black or African American,No,1
F,Two or more races,Yes,0
F,White,No,0
F,White,No,1
M ,White,Yes,0
F,White,Yes,0
M ,Black or African American,No,0
M ,Black or African American,No,1
F,White,Yes,0
F,White,No,0
M ,White,No,0
F,American Indian or Alaska Native,No,0
F,Asian,No,0
M ,White,No,0
F,White,No,1
M ,Black or African American,No,0
M ,Two or more races,No,1
F,White,No,0
M ,White,Yes,0
F,White,No,1
F,White,No,0
M ,White,No,0
F,White,No,1
M ,American Indian or Alaska Native,No,0
F,White,No,1
F,White,No,0
F,White,No,0
F,Black or African American,No,1
F,White,No,0
F,White,No,0
F,White,No,0
F,White,No,1
M ,Asian,No,1
F,White,No,0
F,Black or African American,No,0
F,White,No,0
F,American Indian or Alaska Native,No,0
F,White,No,0
M ,White,No,1
F,Asian,No,0
F,White,No,0
F,Black or African American,No,1
F,White,No,1
M ,White,No,0
M ,White,No,0
F,White,Yes,0
F,White,No,1
F,White,No,1
M ,Black or African American,No,0
M ,Asian,No,0
M ,Black or African American,Yes,0
M ,White,No,0
M ,White,No,1
F,Asian,No,1
M ,White,No,0
M ,Black or African American,No,0
M ,White,No,1
F,Asian,No,0
F,Asian,No,1
M ,White,No,0
M ,Asian,No,0
M ,Black or African American,No,0
F,White,No,0
F,White,No,1
M ,White,No,0
F,Black or African American,Yes,0
F,White,No,1
F,Black or African American,No,0
F,Black or African American,No,0
F,Black or African American,Yes,1
M ,White,No,1
F,White,No,0
F,White,No,0
F,Two or more races,No,1
F,White,No,0
F,Asian,No,0
F,White,No,0
F,Black or African American,No,0
F,Black or African American,No,0
M ,Two or more races,No,0
F,Black or African American,No,1
F,White,No,0
M ,Hispanic,yes,0
M ,White,No,1
M ,White,No,0
M ,Black or African American,Yes,0
F,Black or African American,No,0
M ,Black or African American,No,0
F,White,No,0
F,White,No,0
M ,Black or African American,No,0
M ,Asian,No,0
M ,Asian,No,0
M ,Black or African American,No,1
M ,White,No,1
M ,White,No,0
F,Black or African American,No,0
F,Two or more races,No,0
F,White,No,0
F,White,No,0
F,Two or more races,No,1
F,Asian,No,1
F,White,Yes,0
M ,White,No,0
M ,Black or African American,No,0
M ,White,No,0
F,White,No,1
M ,Black or African American,No,1
M ,White,No,1
M ,Black or African American,No,1
F,Asian,No,1
F,White,No,1
F,White,No,1
F,White,No,1
F,Asian,No,0
F,Black or African American,No,0
M ,Asian,No,1
M ,White,No,0
F,Black or African American,No,0
F,Asian,No,1
M ,White,No,0
F,White,No,1
M ,Black or African American,No,1
F,Black or African American,No,0
M ,White,No,1
M ,White,No,0
M ,White,Yes,1
F,Asian,No,0
F,Black or African American,No,1
M ,White,No,1
M ,Black or African American,No,1
F,White,No,1
M ,White,No,0
F,White,No,0
F,White,Yes,1
F,Black or African American,No,0
F,White,No,0
M ,White,No,1
M ,White,No,0
M ,Black or African American,No,1
F,White,No,0
F,Black or African American,No,0
M ,White,No,1
M ,White,No,0
M ,Black or African American,No,1
F,Black or African American,No,0
F,Asian,No,0
F,White,No,0
F,White,No,0
M ,White,Yes,0
F,White,No,0
F,White,No,1
M ,White,No,0
M ,Black or African American,No,0
F,Black or African American,No,1
F,White,No,0
F,Black or African American,No,0
M ,Asian,No,0
F,White,No,0
F,White,No,0
F,White,No,1
F,Two or more races,No,0
M ,White,No,0
M ,White,No,0
M ,Asian,No,0
F,Black or African American,No,0
F,Black or African American,No,0
M ,White,Yes,0
F,Asian,No,0
M ,White,No,0
M ,White,No,0
F,Black or African American,No,1
F,White,No,1
F,Black or African American,No,0
F,White,No,1
M ,White,No,1
F,Black or African American,No,0
M ,White,No,0
F,White,No,0
M ,White,No,1
M ,Black or African American,No,1
F,White,No,1
M ,White,No,0
F,Two or more races,No,0
M ,White,No,1
M ,White,No,0
M ,Asian,No,0
M ,Black or African American,No,1
F,White,No,1
F,White,No,0
M ,Black or African American,No,0
F,Black or African American,No,1
F,White,No,1
M ,Asian,No,0
F,Asian,No,0
M ,White,Yes,1
M ,White,No,1
F,White,No,1
F,Black or African American,Yes,1
M ,White,No,1
F,White,No,0
M ,White,No,0
F,Asian,No,1
F,White,No,0
F,White,No,0
F,Asian,No,0
